Company Name,Industry,Symbol,Series,ISIN Code,BSE_Ticker,Ticker
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,532149,BANKINDIA.NS
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,532525,MAHABANK.NS
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,500043,BATAINDIA.NS
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,506285,BAYERCROP.NS
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,509480,BERGEPAINT.NS
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01018,541143,BDL.NS
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,500049,BEL.NS
Bharat Forge Ltd.,Capital Goods,BHARATFORG,EQ,INE465A01025,500493,BHARATFORG.NS
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,500103,BHEL.NS
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,500547,BPCL.NS
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,532454,BHARTIARTL.NS
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,532523,BIOCON.NS
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012,500335,BIRLACORPN.NS
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,532400,BSOFT.NS
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,526612,BLUEDART.NS
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,500067,BLUESTARCO.NS
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,501425,BBTC.NS
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022,502219,BORORENEW.NS
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,500530,BOSCHLTD.NS
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,532929,BRIGADE.NS
Brightcom Group Ltd.,Information Technology,BCG,BE,INE425B01027,532368,BCG.NS
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,500825,BRITANNIA.NS
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,543425,MAPMYINDIA.NS
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,519600,CCL.NS
CESC Ltd.,Power,CESC,EQ,INE486A01021,500084,CESC.NS
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,500093,CGPOWER.NS
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,500092,CRISIL.NS
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013,542867,CSBBANK.NS
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,511196,CANFINHOME.NS
Canara Bank,Financial Services,CANBK,EQ,INE476A01014,532483,CANBK.NS
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,524742,CAPLIPOINT.NS
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026,531595,CGCL.NS
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,513375,CARBORUNIV.NS
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,500870,CASTROLIND.NS
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,500878,CEATLTD.NS
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,532885,CENTRALBK.NS
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,#N/A,CDSL.NS
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021,532548,CENTURYPLY.NS
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016,500040,CENTURYTEX.NS
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017,532443,CERA.NS
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,542399,CHALET.NS
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,500085,CHAMBLFERT.NS
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050,543336,CHEMPLASTS.NS
