Company Name,Symbol,NSE Ticker
Tata Communications Ltd.,TATACOMM,TATACOMM.NS
Tata Consultancy Services Ltd.,TCS,TCS.NS
Tata Consumer Products Ltd.,TATACONSUM,TATACONSUM.NS
Tata Elxsi Ltd.,TATAELXSI,TATAELXSI.NS
Tata Investment Corporation Ltd.,TATAINVEST,TATAINVEST.NS
Tata Motors Ltd DVR,TATAMTRDVR,TATAMTRDVR.NS
Tata Motors Ltd.,TATAMOTORS,TATAMOTORS.NS
Tata Power Co. Ltd.,TATAPOWER,TATAPOWER.NS
Tata Steel Long Products Ltd.,TATASTLLP,TATASTLLP.NS
Tata Steel Ltd.,TATASTEEL,TATASTEEL.NS
Tata Teleservices (Maharashtra) Ltd.,TTML,TTML.NS
Teamlease Services Ltd.,TEAMLEASE,TEAMLEASE.NS
Tech Mahindra Ltd.,TECHM,TECHM.NS
The New India Assurance Company Ltd.,NIACL,NIACL.NS
The Ramco Cements Ltd.,RAMCOCEM,RAMCOCEM.NS
Thermax Ltd.,THERMAX,THERMAX.NS
Thyrocare Technologies Ltd.,THYROCARE,THYROCARE.NS
Timken India Ltd.,TIMKEN,TIMKEN.NS
Titan Company Ltd.,TITAN,TITAN.NS
Torrent Pharmaceuticals Ltd.,TORNTPHARM,TORNTPHARM.NS
Torrent Power Ltd.,TORNTPOWER,TORNTPOWER.NS
Trent Ltd.,TRENT,TRENT.NS
Trident Ltd.,TRIDENT,TRIDENT.NS
Triveni Turbine Ltd.,TRITURBINE,TRITURBINE.NS
Tube Investments of India Ltd.,TIINDIA,TIINDIA.NS
UCO Bank,UCOBANK,UCOBANK.NS
UFLEX Ltd.,UFLEX,UFLEX.NS
UPL Ltd.,UPL,UPL.NS
UTI Asset Management Company Ltd.,UTIAMC,UTIAMC.NS
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO.NS
Union Bank of India,UNIONBANK,UNIONBANK.NS
United Breweries Ltd.,UBL,UBL.NS
United Spirits Ltd.,MCDOWELL-N,MCDOWELL-N.NS
V-Guard Industries Ltd.,VGUARD,VGUARD.NS
V-Mart Retail Ltd.,VMART,VMART.NS
V.I.P. Industries Ltd.,VIPIND,VIPIND.NS
Vaibhav Global Ltd.,VAIBHAVGBL,VAIBHAVGBL.NS
Vakrangee Ltd.,VAKRANGEE,VAKRANGEE.NS
Vardhman Textiles Ltd.,VTL,VTL.NS
Varroc Engineering Ltd.,VARROC,VARROC.NS
Varun Beverages Ltd.,VBL,VBL.NS
Vedanta Ltd.,VEDL,VEDL.NS
Venky's (India) Ltd.,VENKEYS,VENKEYS.NS
Vijaya Diagnostic Centre Ltd.,VIJAYA,VIJAYA.NS
Vinati Organics Ltd.,VINATIORGA,VINATIORGA.NS
Vodafone Idea Ltd.,IDEA,IDEA.NS
Voltas Ltd.,VOLTAS,VOLTAS.NS
Welspun Corp Ltd.,WELCORP,WELCORP.NS
Welspun India Ltd.,WELSPUNIND,WELSPUNIND.NS
Westlife Development Ltd.,WESTLIFE,WESTLIFE.NS
Whirlpool of India Ltd.,WHIRLPOOL,WHIRLPOOL.NS
Wipro Ltd.,WIPRO,WIPRO.NS
Wockhardt Ltd.,WOCKPHARMA,WOCKPHARMA.NS
Yes Bank Ltd.,YESBANK,YESBANK.NS
ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,ZFCVINDIA.NS
Zee Entertainment Enterprises Ltd.,ZEEL,ZEEL.NS
Zensar Technolgies Ltd.,ZENSARTECH,ZENSARTECH.NS
Zomato Ltd.,ZOMATO,ZOMATO.NS
Zydus Lifesciences Ltd.,ZYDUSLIFE,ZYDUSLIFE.NS
Zydus Wellness Ltd.,ZYDUSWELL,ZYDUSWELL.NS
eClerx Services Ltd.,ECLERX,ECLERX.NS
