Company Name,Industry,ISIN Code,NSE Ticker,BSE Ticker
Chalet Hotels Ltd.,Consumer Services,INE427F01016,CHALET.NS,542399
Chambal Fertilizers & Chemicals Ltd.,Chemicals,INE085A01013,CHAMBLFERT.NS,500085
Chemplast Sanmar Ltd.,Chemicals,INE488A01050,CHEMPLASTS.NS,543336
Cholamandalam Financial Holdings Ltd.,Financial Services,INE149A01033,CHOLAHLDNG.NS,504973
Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024,CHOLAFIN.NS,511243
Cipla Ltd.,Healthcare,INE059A01026,CIPLA.NS,500087
City Union Bank Ltd.,Financial Services,INE491A01021,CUB.NS,532210
Clean Science and Technology Ltd.,Chemicals,INE227W01023,CLEAN.NS,543318
Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014,COALINDIA.NS,533278
Cochin Shipyard Ltd.,Capital Goods,INE704P01017,COCHINSHIP.NS,540678
Coforge Ltd.,Information Technology,INE591G01017,COFORGE.NS,532541
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022,COLPAL.NS,500830
Computer Age Management Services Ltd.,Financial Services,INE596I01012,CAMS.NS,543232
Container Corporation of India Ltd.,Services,INE111A01025,CONCOR.NS,531344
Coromandel International Ltd.,Chemicals,INE169A01031,COROMANDEL.NS,506395
CreditAccess Grameen Ltd.,Financial Services,INE741K01010,CREDITACC.NS,541770
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,INE299U01018,CROMPTON.NS,539876
Cummins India Ltd.,Capital Goods,INE298A01020,CUMMINSIND.NS,500480
Cyient Ltd.,Information Technology,INE136B01020,CYIENT.NS,532175
DCM Shriram Ltd.,Diversified,INE499A01024,DCMSHRIRAM.NS,523367
DLF Ltd.,Realty,INE271C01023,DLF.NS,532868
Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026,DABUR.NS,500096
Dalmia Bharat Ltd.,Construction Materials,INE00R701025,DALBHARAT.NS,542216
Deepak Nitrite Ltd.,Chemicals,INE288B01029,DEEPAKNTR.NS,506401
Delta Corp Ltd.,Consumer Services,INE124G01033,DELTACORP.NS,532848
Devyani International Ltd.,Consumer Services,INE872J01023,DEVYANI.NS,543330
Dhani Services Ltd.,Financial Services,INE274G01010,DHANI.NS,532960
Dilip Buildcon Ltd.,Construction,INE917M01012,DBL.NS,540047
Divi's Laboratories Ltd.,Healthcare,INE361B01024,DIVISLAB.NS,532488
Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020,DIXON.NS,540699
Dr. Lal Path Labs Ltd.,Healthcare,INE600L01024,LALPATHLAB.NS,539524
Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01023,DRREDDY.NS,500124
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,INE126A01031,EIDPARRY.NS,500125
EIH Ltd.,Consumer Services,INE230A01023,EIHOTEL.NS,500840
EPL Ltd.,Capital Goods,INE255A01020,EPL.NS,500135
Easy Trip Planners Ltd.,Consumer Services,INE07O001018,EASEMYTRIP.NS,543272
Edelweiss Financial Services Ltd.,Financial Services,INE532F01054,EDELWEISS.NS,532922
Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021,EICHERMOT.NS,505200
Elgi Equipments Ltd.,Capital Goods,INE285A01027,ELGIEQUIP.NS,522074
Emami Ltd.,Fast Moving Consumer Goods,INE548C01032,EMAMILTD.NS,531162
Endurance Technologies Ltd.,Automobile and Auto Components,INE913H01037,ENDURANCE.NS,540153
Engineers India Ltd.,Construction,INE510A01028,ENGINERSIN.NS,532178
Equitas Holdings Ltd.,Financial Services,INE988K01017,EQUITAS.NS,539844
Equitas Small Finance Bank Ltd.,Financial Services,INE063P01018,EQUITASBNK.NS,543243
Eris Lifesciences Ltd.,Healthcare,INE406M01024,ERIS.NS,540596
Escorts Ltd.,Capital Goods,INE042A01014,ESCORTS.NS,500495
Exide Industries Ltd.,Automobile and Auto Components,INE302A01020,EXIDEIND.NS,500086
FDC Ltd.,Healthcare,INE258B01022,FDC.NS,531599
FSN E-Commerce Ventures Ltd.,Consumer Services,INE388Y01029,NYKAA.NS,543384
Federal Bank Ltd.,Financial Services,INE171A01029,FEDERALBNK.NS,500469
Fertilisers and Chemicals Travancore Ltd.,Chemicals,INE188A01015,FACT.NS,590024
Fine Organic Industries Ltd.,Chemicals,INE686Y01026,FINEORG.NS,541557
Finolex Cables Ltd.,Capital Goods,INE235A01022,FINCABLES.NS,500144
Finolex Industries Ltd.,Capital Goods,INE183A01024,FINPIPE.NS,500940
Firstsource Solutions Ltd.,Information Technology,INE684F01012,FSL.NS,532809
Fortis Healthcare Ltd.,Healthcare,INE061F01013,FORTIS.NS,532843
G R Infraprojects Ltd.,Construction,INE201P01022,GRINFRA.NS,543317
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,INE129A01019,GAIL.NS,532155
GMM Pfaudler Ltd.,Capital Goods,INE541A01023,GMMPFAUDLR.NS,505255
GMR Infrastructure Ltd.,Services,INE776C01039,GMRINFRA.NS,532754
Galaxy Surfactants Ltd.,Chemicals,INE600K01018,GALAXYSURF.NS,540935
Garware Technical Fibres Ltd.,Textiles,INE276A01018,GARFIBRES.NS,509557
General Insurance Corporation of India,Financial Services,INE481Y01014,GICRE.NS,540755
Gland Pharma Ltd.,Healthcare,INE068V01023,GLAND.NS,543245
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,INE159A01016,GLAXO.NS,500660
Glenmark Life Sciences Ltd.,Healthcare,INE03Q201024,GLS.NS,543322
Glenmark Pharmaceuticals Ltd.,Healthcare,INE935A01035,GLENMARK.NS,532296
Go Fashion (India) Ltd.,Consumer Services,INE0BJS01011,GOCOLORS.NS,543401
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,INE260B01028,GODFRYPHLP.NS,500163
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,INE850D01014,GODREJAGRO.NS,540743
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,INE102D01028,GODREJCP.NS,532424
Godrej Industries Ltd.,Fast Moving Consumer Goods,INE233A01035,GODREJIND.NS,500164
Godrej Properties Ltd.,Realty,INE484J01027,GODREJPROP.NS,533150
Granules India Ltd.,Healthcare,INE101D01020,GRANULES.NS,532482
Graphite India Ltd.,Capital Goods,INE371A01025,GRAPHITE.NS,509488
Grasim Industries Ltd.,Construction Materials,INE047A01021,GRASIM.NS,500300
Great Eastern Shipping Co. Ltd.,Services,INE017A01032,GESHIP.NS,500620
Grindwell Norton Ltd.,Capital Goods,INE536A01023,GRINDWELL.NS,506076
Gujarat Alkalies & Chemicals Ltd.,Chemicals,INE186A01019,GUJALKALI.NS,530001
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,INE036B01030,GAEL.NS,524226
Gujarat Fluorochemicals Ltd.,Chemicals,INE09N301011,FLUOROCHEM.NS,542812
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,INE844O01030,GUJGASLTD.NS,539336
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,INE113A01013,GNFC.NS,500670
Gujarat Pipavav Port Ltd.,Services,INE517F01014,GPPL.NS,533248
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,INE026A01025,GSFC.NS,500690
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,INE246F01010,GSPL.NS,532702
H.E.G. Ltd.,Capital Goods,INE545A01016,HEG.NS,509631
HCL Technologies Ltd.,Information Technology,INE860A01027,HCLTECH.NS,532281
HDFC Asset Management Company Ltd.,Financial Services,INE127D01025,HDFCAMC.NS,541729
HDFC Bank Ltd.,Financial Services,INE040A01034,HDFCBANK.NS,500180
HDFC Life Insurance Company Ltd.,Financial Services,INE795G01014,HDFCLIFE.NS,540777
HFCL Ltd.,Telecommunication,INE548A01028,HFCL.NS,500183
HLE Glascoat Ltd.,Capital Goods,INE461D01010,HLEGLAS.NS,522215
Happiest Minds Technologies Ltd.,Information Technology,INE419U01012,HAPPSTMNDS.NS,543227
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,INE982F01036,HATHWAY.NS,533162
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,INE473B01035,HATSUN.NS,531531
Havells India Ltd.,Consumer Durables,INE176B01034,HAVELLS.NS,517354
Hemisphere Properties India Ltd.,Realty,INE0AJG01018,HEMIPROP.NS,543242
Hero MotoCorp Ltd.,Automobile and Auto Components,INE158A01026,HEROMOTOCO.NS,500182
Hikal Ltd.,Healthcare,INE475B01022,HIKAL.NS,524735
Hindalco Industries Ltd.,Metals & Mining,INE038A01020,HINDALCO.NS,500440
Hinduja Global Solutions Ltd.,Services,INE170I01016,HGS.NS,532859
Hindustan Aeronautics Ltd.,Capital Goods,INE066F01012,HAL.NS,541154
Hindustan Copper Ltd.,Metals & Mining,INE531E01026,HINDCOPPER.NS,513599
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE094A01015,HINDPETRO.NS,500104
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,INE030A01027,HINDUNILVR.NS,500696
Hindustan Zinc Ltd.,Metals & Mining,INE267A01025,HINDZINC.NS,500188
Hitachi Energy India Ltd.,Capital Goods,INE07Y701011,POWERINDIA.NS,543187
Home First Finance Company India Ltd.,Financial Services,INE481N01025,HOMEFIRST.NS,543259
Honeywell Automation India Ltd.,Capital Goods,INE671A01010,HONAUT.NS,517174
Housing & Urban Development Corporation Ltd.,Financial Services,INE031A01017,HUDCO.NS,540530
Housing Development Finance Corporation Ltd.,Financial Services,INE001A01036,HDFC.NS,500010
ICICI Bank Ltd.,Financial Services,INE090A01021,ICICIBANK.NS,532174
ICICI Lombard General Insurance Company Ltd.,Financial Services,INE765G01017,ICICIGI.NS,540716
ICICI Prudential Life Insurance Company Ltd.,Financial Services,INE726G01019,ICICIPRULI.NS,540133
ICICI Securities Ltd.,Financial Services,INE763G01038,ISEC.NS,541179
IDBI Bank Ltd.,Financial Services,INE008A01015,IDBI.NS,500116
IDFC First Bank Ltd.,Financial Services,INE092T01019,IDFCFIRSTB.NS,539437
IDFC Ltd.,Financial Services,INE043D01016,IDFC.NS,532659
IFB Industries Ltd.,Consumer Durables,INE559A01017,IFBIND.NS,505726
IIFL Finance Ltd.,Financial Services,INE530B01024,IIFL.NS,532636
IIFL Wealth Management Ltd.,Financial Services,INE466L01020,IIFLWAM.NS,542772
IRB Infrastructure Developers Ltd.,Construction,INE821I01014,IRB.NS,532947
IRCON International Ltd.,Construction,INE962Y01021,IRCON.NS,541956
ITC Ltd.,Fast Moving Consumer Goods,INE154A01025,ITC.NS,500875
ITI Ltd.,Telecommunication,INE248A01017,ITI.NS,523610
India Cements Ltd.,Construction Materials,INE383A01012,INDIACEM.NS,530005
Indiabulls Housing Finance Ltd.,Financial Services,INE148I01020,IBULHSGFIN.NS,535789
Indiabulls Real Estate Ltd.,Realty,INE069I01010,IBREALEST.NS,532832
Indiamart Intermesh Ltd.,Consumer Services,INE933S01016,INDIAMART.NS,542726
Indian Bank,Financial Services,INE562A01011,INDIANB.NS,532814
Indian Energy Exchange Ltd.,Financial Services,INE022Q01020,IEX.NS,540750
Indian Hotels Co. Ltd.,Consumer Services,INE053A01029,INDHOTEL.NS,500850
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,INE242A01010,IOC.NS,530965
Indian Overseas Bank,Financial Services,INE565A01014,IOB.NS,532388
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,INE335Y01020,IRCTC.NS,542830
Indian Railway Finance Corporation Ltd.,Financial Services,INE053F01010,IRFC.NS,543257
Indigo Paints Ltd.,Consumer Durables,INE09VQ01012,INDIGOPNTS.NS,543258
Indo Count Industries Ltd.,Textiles,INE483B01026,ICIL.NS,521016
Indoco Remedies Ltd.,Healthcare,INE873D01024,INDOCO.NS,532612
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,INE203G01027,IGL.NS,532514
Indus Towers Ltd.,Telecommunication,INE121J01017,INDUSTOWER.NS,534816
IndusInd Bank Ltd.,Financial Services,INE095A01012,INDUSINDBK.NS,532187
Infibeam Avenues Ltd.,Information Technology,INE483S01020,INFIBEAM.NS,539807
Info Edge (India) Ltd.,Consumer Services,INE663F01024,NAUKRI.NS,532777
Infosys Ltd.,Information Technology,INE009A01021,INFY.NS,500209
Inox Leisure Ltd.,Media Entertainment & Publication,INE312H01016,INOXLEISUR.NS,532706
Intellect Design Arena Ltd.,Information Technology,INE306R01017,INTELLECT.NS,538835
InterGlobe Aviation Ltd.,Services,INE646L01027,INDIGO.NS,539448
Ipca Laboratories Ltd.,Healthcare,INE571A01038,IPCALAB.NS,524494
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,INE572A01028,JBCHEPHARM.NS,506943
J.K. Cement Ltd.,Construction Materials,INE823G01014,JKCEMENT.NS,532644
JK Lakshmi Cement Ltd.,Construction Materials,INE786A01032,JKLAKSHMI.NS,500380
JK Paper Ltd.,Forest Materials,INE789E01012,JKPAPER.NS,532162
JM Financial Ltd.,Financial Services,INE780C01023,JMFINANCIL.NS,523405
JSW Energy Ltd.,Power,INE121E01018,JSWENERGY.NS,533148
JSW Steel Ltd.,Metals & Mining,INE019A01038,JSWSTEEL.NS,500228
Jamna Auto Industries Ltd.,Automobile and Auto Components,INE039C01032,JAMNAAUTO.NS,520051
Jindal Stainless (Hisar) Ltd.,Capital Goods,INE455T01018,JSLHISAR.NS,539597
Jindal Stainless Ltd.,Metals & Mining,INE220G01021,JSL.NS,532508
Jindal Steel & Power Ltd.,Metals & Mining,INE749A01030,JINDALSTEL.NS,532286
Jubilant Foodworks Ltd.,Consumer Services,INE797F01020,JUBLFOOD.NS,533155
Jubilant Ingrevia Ltd.,Chemicals,INE0BY001018,JUBLINGREA.NS,543271
Jubilant Pharmova Ltd.,Healthcare,INE700A01033,JUBLPHARMA.NS,530019
Justdial Ltd.,Consumer Services,INE599M01018,JUSTDIAL.NS,535648
Jyothy Labs Ltd.,Fast Moving Consumer Goods,INE668F01031,JYOTHYLAB.NS,532926
K.P.R. Mill Ltd.,Textiles,INE930H01031,KPRMILL.NS,532889
KEI Industries Ltd.,Capital Goods,INE878B01027,KEI.NS,517569
KNR Constructions Ltd.,Construction,INE634I01029,KNRCON.NS,532942
KPIT Technologies Ltd.,Information Technology,INE04I401011,KPITTECH.NS,542651
KRBL Ltd.,Fast Moving Consumer Goods,INE001B01026,KRBL.NS,530813
Kajaria Ceramics Ltd.,Consumer Durables,INE217B01036,KAJARIACER.NS,500233
Kalpataru Power Transmission Ltd.,Construction,INE220B01022,KALPATPOWR.NS,522287
Kalyan Jewellers India Ltd.,Consumer Durables,INE303R01014,KALYANKJIL.NS,543278
Kansai Nerolac Paints Ltd.,Consumer Durables,INE531A01024,KANSAINER.NS,500165
Karur Vysya Bank Ltd.,Financial Services,INE036D01028,KARURVYSYA.NS,590003
Kec International Ltd.,Capital Goods,INE389H01022,KEC.NS,532714
Kotak Mahindra Bank Ltd.,Financial Services,INE237A01028,KOTAKBANK.NS,500247
Krishna Institute of Medical Sciences Ltd.,Healthcare,INE967H01017,KIMS.NS,543308
L&T Finance Holdings Ltd.,Financial Services,INE498L01015,L&TFH.NS,533519
L&T Technology Services Ltd.,Information Technology,INE010V01017,LTTS.NS,540115
LIC Housing Finance Ltd.,Financial Services,INE115A01026,LICHSGFIN.NS,500253
Lakshmi Machine Works Ltd.,Capital Goods,INE269B01029,LAXMIMACH.NS,500252
Larsen & Toubro Infotech Ltd.,Information Technology,INE214T01019,LTI.NS,540005
Larsen & Toubro Ltd.,Construction,INE018A01030,LT.NS,500510
Latent View Analytics Ltd.,Information Technology,INE0I7C01011,LATENTVIEW.NS,543398
Laurus Labs Ltd.,Healthcare,INE947Q01028,LAURUSLABS.NS,540222
Laxmi Organic Industries Ltd.,Chemicals,INE576O01020,LXCHEM.NS,543277
Linde India Ltd.,Chemicals,INE473A01011,LINDEINDIA.NS,523457
Lupin Ltd.,Healthcare,INE326A01037,LUPIN.NS,500257
Lux Industries Ltd.,Textiles,INE150G01020,LUXIND.NS,539542
MMTC Ltd.,Services,INE123F01029,MMTC.NS,513377
MOIL Ltd.,Metals & Mining,INE490G01020,MOIL.NS,533286
MRF Ltd.,Automobile and Auto Components,INE883A01011,MRF.NS,500290
MTAR Technologies Ltd.,Capital Goods,INE864I01014,MTARTECH.NS,543270
Macrotech Developers Ltd.,Realty,INE670K01029,LODHA.NS,543287
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,INE002S01010,MGL.NS,539957
Mahindra & Mahindra Financial Services Ltd.,Financial Services,INE774D01024,M&MFIN.NS,532720
Mahindra & Mahindra Ltd.,Automobile and Auto Components,INE101A01026,M&M.NS,500520
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,INE536H01010,MAHINDCIE.NS,532756
Mahindra Holidays & Resorts India Ltd.,Consumer Services,INE998I01010,MHRIL.NS,533088
Mahindra Logistics Ltd.,Services,INE766P01016,MAHLOG.NS,540768
Manappuram Finance Ltd.,Financial Services,INE522D01027,MANAPPURAM.NS,531213
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,INE103A01014,MRPL.NS,500109
Marico Ltd.,Fast Moving Consumer Goods,INE196A01026,MARICO.NS,531642
Maruti Suzuki India Ltd.,Automobile and Auto Components,INE585B01010,MARUTI.NS,532500
Mastek Ltd.,Information Technology,INE759A01021,MASTEK.NS,523704
Max Financial Services Ltd.,Financial Services,INE180A01020,MFSL.NS,500271
Max Healthcare Institute Ltd.,Healthcare,INE027H01010,MAXHEALTH.NS,543220
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,INE249Z01012,MAZDOCK.NS,543237
Medplus Health Services Ltd.,Consumer Services,INE804L01022,MEDPLUS.NS,543427
Metro Brands Ltd.,Consumer Durables,INE317I01021,METROBRAND.NS,543426
Metropolis Healthcare Ltd.,Healthcare,INE112L01020,METROPOLIS.NS,542650
MindTree Ltd.,Information Technology,INE018I01017,MINDTREE.NS,532819
Minda Industries Ltd.,Automobile and Auto Components,INE405E01023,MINDAIND.NS,532539
Motilal Oswal Financial Services Ltd.,Financial Services,INE338I01027,MOTILALOFS.NS,532892
MphasiS Ltd.,Information Technology,INE356A01018,MPHASIS.NS,526299
Multi Commodity Exchange of India Ltd.,Financial Services,INE745G01035,MCX.NS,534091
Muthoot Finance Ltd.,Financial Services,INE414G01012,MUTHOOTFIN.NS,533398
NATCO Pharma Ltd.,Healthcare,INE987B01026,NATCOPHARM.NS,524816
NBCC (India) Ltd.,Construction,INE095N01031,NBCC.NS,534309
NCC Ltd.,Construction,INE868B01028,NCC.NS,500294
NESCO Ltd.,Services,INE317F01035,NESCO.NS,505355
NHPC Ltd.,Power,INE848E01016,NHPC.NS,533098
NLC India Ltd.,Power,INE589A01014,NLCINDIA.NS,513683
NMDC Ltd.,Metals & Mining,INE584A01023,NMDC.NS,526371
NOCIL Ltd.,Chemicals,INE163A01018,NOCIL.NS,500730
NTPC Ltd.,Power,INE733E01010,NTPC.NS,532555
Narayana Hrudayalaya Ltd.,Healthcare,INE410P01011,NH.NS,539551
National Aluminium Co. Ltd.,Metals & Mining,INE139A01034,NATIONALUM.NS,532234
Navin Fluorine International Ltd.,Chemicals,INE048G01026,NAVINFLUOR.NS,532504
Nazara Technologies Ltd.,Media Entertainment & Publication,INE418L01021,NAZARA.NS,543280
Nestle India Ltd.,Fast Moving Consumer Goods,INE239A01016,NESTLEIND.NS,500790
Network18 Media & Investments Ltd.,Media Entertainment & Publication,INE870H01013,NETWORK18.NS,532798
