Date,Asian Paint,Axis Bank,Bajaj Finserv,Bajaj Finance,Airtel,HCL Technology,HDFC,HDFC Bank,Hindustan Unilever,ICICI Bank,Infosys,ITC,Kotak Bank,LNT,Maruti,Reliance,SBI,Tata Steel,TCS,Titan,Adani Ports,Cipla,Divis Laboratories Ltd.,Dr Reddys Laboratories Ltd.,Grasim,HDFC Life Insurance,Hindalco Industries,IndusInd Bank,JSW Steels,Mahindra & Mahindra Limited,Nestle India,NTPC,ONGC,PowerGrid,SBI Life Insurance,Sun Pharma Advanced Research Company Ltd,Tata Motors,Tech Mahindra,UltraTech Cement,Wipro,Bajaj Auto,Bharat Petroleum,Britannia,Coal India,Eicher Motors,Hero Motorcorp,Indian Oil Corporation Ltd.,Shree Cement,Tata Consumer Products Limited,UPL Ltd.
04/03/18,0.001693953,0.004997012,0.021448882,0.008568718,0.017810599,-0.010519661,-0.006741805,-0.007954047,-0.002148406,0.030835238,0.002897725,0.000967586,0.006136801,-0.004162945,0.002023882,0.007364049,0.017517839,0.001553776,0.000549777,-0.012952889,-0.008966283,-0.010379078,0.017140268,-0.003382759,-0.001240131,0.022433744,-0.015744615,0.013813045,0.021681971,0.029050541,0.004203478,-0.006181035,-0.013708409,0.018554367,-0.005718946,0.020163505,0.011579498,-0.038770986,-0.006885546,-0.02005123,-0.006052546,0.006708684,-0.001420615,0.005211665,-0.010616896,-0.000288042,0.021474981,0.014143652,-0.007793513,0.017457009
04/04/18,-0.014073023,-0.018716561,-0.02885179,0.008658036,-0.017937128,-0.010370847,-0.012345102,-0.017188491,0.006689181,-0.005197687,-0.01435125,0.000386796,-0.022919961,-0.026081316,-0.001435724,-0.005182643,-0.012856734,-0.033592327,-0.000120264,-0.030062752,0.003813663,-0.000877116,-0.01128773,-0.015891045,-0.026593765,0.004547989,-0.034988248,-0.016726517,-0.024045178,-0.017751736,0.000850507,-0.016671978,-0.011901564,-0.012671226,-7.35E-05,-0.023695014,0.035784553,-0.015790918,-0.017849156,-0.008134394,-0.009355952,-0.026867968,-0.014895261,-0.015899249,0.033178728,0.006072132,-0.017376632,-0.019777946,-0.016696059,-0.044261757
04/05/18,0.006055593,0.021802252,0.040352593,0.034737162,-0.002915278,0.002914683,0.011660198,0.013528165,0.018068494,0.036547098,0.020557649,0.004052057,0.036423947,0.024877965,0.013126933,0.014752635,0.047383459,0.034885263,0.016034166,0.017211577,0.021916909,-0.016723856,0.019815992,0.009375533,0.032413708,0.004226221,0.064367273,0.020681086,0.041545032,0.023578127,0.00396769,0.014307248,0.011619817,0.001019586,-0.007306593,0.017534055,0.018390058,0.018061192,0.021739168,0.016377869,0.015123636,0.017913065,0.008610659,0.011768037,0.025371542,0.030877838,0.013925431,0.022495997,0.010124339,0.032833835
04/06/18,0.000524821,-0.005780927,0.007393799,0.011419204,-0.022983659,-0.009818811,0.002490824,0.007567293,-0.005368096,0.007151828,-0.018070042,0.004611006,0.000804382,-0.0092616,0.008026805,0.003078317,0.00154152,0.011561812,-0.002589568,0.021770957,0.008871228,-0.002501499,-0.00398572,0.006468518,-0.008857964,-0.00321836,-0.000700661,-0.006992422,-0.000648659,-0.003426939,-0.00445872,0.002955013,-0.002821672,-0.001529769,0.006865305,0.035663885,0.005231993,0.001375965,-0.004320341,-0.008067344,-0.007775464,0.026858223,0.021550478,-0.007225465,0.004082309,-0.000714122,0.00402529,0.021848483,-0.001099461,-0.004966404
04/09/18,0.012125533,0.037473684,0.013951511,0.003426217,-0.012153046,0.000629598,0.004201087,0.008103722,0.012145845,0.000712421,-0.014073727,0.018798547,-0.000849137,0.00858405,0.009346616,0.005473415,0.003651322,-0.001789727,-0.008988568,0.021411204,-0.005154262,-0.003943739,0.013903326,-0.001672166,-0.005640046,-0.008802619,0.033769172,0.019516098,0.003885956,0.018291432,0.004220149,0.001179629,0.008160996,-0.000510444,-0.001398774,-0.00535666,-0.016057982,-0.005433754,-0.007956636,0.003866422,-0.005019017,0.037095724,-0.002968743,-0.004906782,0.000221429,0.005080407,0.031354089,0.001663551,0.018529052,-0.002658889
04/10/18,-0.000604919,0.050411981,-0.027046883,-0.009405,0.013710466,-0.005048113,-0.010508526,-0.009430404,-7.18E-05,0.027913624,0.001932911,0.003380377,-0.004122032,0.016431768,-0.002068307,0.001145654,0.010115532,0.026515588,0.004674647,0.001664128,0.025897324,0.002511481,0.012140064,-0.004322778,0.00314759,0.023204271,0.038334122,-0.006553346,0.006282783,-0.010999007,0.013843855,-0.007395426,0.010039142,0.005600807,0.024739329,-0.011431537,-0.014194569,0.018690686,0.003312358,0.003327178,-0.002166496,0.001774793,-0.005564642,0.023229573,0.005563995,-0.021392302,-0.002784741,-0.005293005,-0.008313758,0.000665401
04/11/18,-0.000778366,-0.01169503,0.001347776,-0.000727153,-0.000648573,0.019679587,-0.002809983,-0.001041748,0.012604401,-0.014825423,0.009697728,-0.005828796,0.011117383,0.002109024,0.003127682,0.014936142,-0.024023449,0.010165736,0.02572488,0.01822727,-0.024440885,0.005983987,-0.01853294,-0.00541216,-0.012275866,-0.007575014,0.018096129,0.004212037,0.002726346,0.014554099,-0.002680343,0.00059372,0.010763162,0.000253777,0.032942807,0.079741399,0.007192719,0.010954171,-0.00166756,-0.001049459,-0.003947815,-0.077994507,0.000214244,0.008860593,0.023511891,0.005645238,-0.068972934,-0.005099495,-0.006007095,-0.008215119
04/12/18,0.008056721,0.016444286,0.000101431,0.002439,-0.013324818,0.043246429,0.009144786,0.005172038,0.002551456,0.007701814,0.033542709,-0.012141988,0.00751983,0.003468346,-0.010596097,-0.0023124,-0.012724004,-0.015997628,0.040666084,-0.00398776,-0.014795306,-0.009573688,-0.001649224,-0.019321927,-0.003984723,-0.000300183,-0.006855172,0.001104091,-0.012732905,-0.001458635,0.018769647,0.005917141,-0.002198374,-0.003304864,6.95E-05,-0.032245577,0.007280923,0.030247632,-0.013428492,0.004017135,0.002772333,0.003229876,0.005340752,-0.006726858,-0.000115692,0.002697324,0.005363504,0.001988028,0,0.003147107
4/13/2018,-0.002577986,-0.01136274,-0.0193626,-0.007805019,-0.006067837,-0.018788329,0.006294859,-0.001972105,-0.001558426,0.005217403,0.007583401,-0.004591599,0.014437841,-0.001917175,-0.008784238,0.010869959,-0.011292863,-0.007295997,0.004465621,0.011308226,0.028461779,-0.001169477,0.021798463,0.014191447,-0.000751776,0.000400204,0.022109731,0.001882176,0.000810701,0.002218772,0.005835677,0.008518154,0.004118057,0.005839719,-0.010344628,-0.005073102,-0.00377387,0.02831767,0.001715828,0.025130362,0.008289232,-0.032161015,0.008879911,0.012356733,0.021648466,-0.006300742,-0.017386492,-0.001178101,0.006007095,-0.001070218
4/16/2018,0.014224648,-0.000276443,0.012959244,0.015009457,-0.003313273,0.008688525,0.016087425,0.008843882,0.006324963,-0.002257512,-0.03319681,0.01409015,0.018079005,0.009732169,0.011772864,-0.001919061,-0.007800807,-0.004132781,0.010834399,-0.006759383,0.011419781,0.051657785,0.023936453,0.005963189,0.026670721,-0.010155409,0.006914617,0.001798186,0.001295737,0.014896145,0.00709996,0.018258731,-0.005494519,0.00857082,-0.003871745,0.000847319,-0.051433324,-0.004252908,0.009761569,-0.014553802,0.018526656,0.006883061,0.019665635,0.003852241,-0.001715821,0.020521238,-0.002119002,0.002649641,0.014951171,0.021845046
