Date,Asian Paint,Axis Bank,Bajaj Finserv,Bajaj Finance,Airtel,HCL Technology,HDFC,HDFC Bank,Hindustan Unilever,ICICI Bank,Infosys,ITC,Kotak Bank,LNT,Maruti,Reliance,SBI,Tata Steel,TCS,Titan,Adani Ports,Cipla,Divis Laboratories Ltd.,Dr Reddys Laboratories Ltd.,Grasim,HDFC Life Insurance,Hindalco Industries,IndusInd Bank,JSW Steels,Mahindra & Mahindra Limited,Nestle India,NTPC,ONGC,PowerGrid,SBI Life Insurance,Sun Pharma Advanced Research Company Ltd,Tata Motors,Tech Mahindra,UltraTech Cement,Wipro,Bajaj Auto,Bharat Petroleum,Britannia,Coal India,Eicher Motors,Hero Motorcorp,Indian Oil Corporation Ltd.,Shree Cement,Tata Consumer Products Limited,UPL Ltd.
4/17/2018,-0.00241759,-0.018436577,0.007417208,-0.004245356,0.01433691,0.011101085,0.010291641,0.003295414,0.018351567,0.014429742,-0.007059654,0.011911491,-0.006185479,-0.00624949,-0.007761091,0.007683681,-0.003413679,0.007521995,-0.00660355,0.017440057,-0.010580661,-0.008547739,0.006222074,0.001474517,0.002151204,-0.006973243,-0.000208825,0.00117982,0.000809323,0.009857088,0.030196266,0.016369903,-0.003856732,0.028614409,0.017632952,0.012583212,-0.007961025,-0.000598212,6.38E-05,-0.017764757,0.009125146,0.006001915,0.005600158,0.005242922,-0.008679134,-0.008979373,0.013333315,0.000524415,0.004648734,-0.00792304
4/18/2018,-0.003146217,-0.026577806,-0.009997973,-0.004237654,0.005758399,-0.013996068,-0.006350214,-0.008160136,0.003424268,-0.005826948,0.000666548,0.028961135,-0.009357449,0.000404492,-0.004241062,-0.00661898,-0.006850683,0.009311279,-0.002368471,-0.020549319,0.004042823,0.008017869,-0.004785925,-0.001852317,-0.001735578,0.003765533,0.014202211,-0.012454134,0.0025878,-0.013652917,-0.004254639,0.009042172,0.007190282,0.000488023,-6.94E-05,-0.006452413,-0.004904219,-0.017207841,0.019171638,0.027743643,-0.000750612,-0.013271598,0.003659573,-0.008692628,-0.004953692,-0.008278045,-0.013456938,0.003395754,0.011211937,6.60E-05
4/19/2018,-0.006227116,-0.010323156,0.002485195,-0.007032165,0.028887509,0.021768584,-0.010145352,0.003311614,0.002550811,-0.001551394,0.00612818,0.007263483,-4.33E-05,0.018307496,-0.004807281,0.004584178,-0.001217298,0.033826525,0.010145232,-0.024920659,0.00415632,-0.000342031,0.00412799,0.016487116,0.010339982,0.020987542,0.090403611,-0.005776754,0.041619595,0.004509629,0.01897438,-0.00560074,0.010159203,0.015122028,0.002148817,0.002525527,-0.001642735,0.012789319,0.027828245,-0.000683382,-0.001432574,-0.070705882,0.00636929,-0.006664307,0.001498029,-0.003799013,-0.042437103,0.006284222,0.007391785,0.014915446
4/20/2018,-0.004849806,-0.014037847,-0.018355882,-0.017195434,0.016820481,0.043002296,-0.01318161,0.008715845,0.009352289,-0.02572518,0.04025244,-0.004146363,-0.00091,-0.014404297,-0.005800002,-0.015281743,-0.020109677,-0.025323579,0.066214391,0.003988442,-0.013969717,0.007956816,0.01229074,-0.006740695,-0.003033986,-0.015590876,-0.01000942,-0.010965916,0,-0.002992922,0.00179871,-0.018023024,-0.008697966,-0.004324862,-0.009337391,-0.008877116,0.005235602,0.053066728,-0.005495447,0.019148554,-0.001836981,-0.013676787,-0.013612386,0.031249912,0.007391693,0.005129405,0.013611961,-0.008286758,0.000349321,-0.004096714
4/23/2018,0.016690366,0.000988728,0.001447105,0.010077617,0.002114441,0.024144609,-0.001799225,-0.010302175,-0.010253473,-0.009746589,0.007849294,-0.002534439,0.014008782,-0.003699534,0.004415469,0.008729372,0.005182421,0.000659788,0.001822202,0.006690737,0.013642955,0.018843964,-0.013230102,0.006432983,-0.014262421,-0.004135958,-0.024799694,0.033952092,-0.003252341,0.031019372,-0.028012485,-0.004301692,-0.007129164,-0.001930521,0.001117067,0.024691313,-0.005803608,0.002141328,0.015388834,-0.002348571,-0.000192817,0.026790556,-0.001747403,-0.007704161,-0.002680721,-0.006546076,0.009993696,0.006905966,-0.009430604,-0.015605631
4/24/2018,-0.007296153,-0.002666942,0.025245543,0.009713888,0.008439837,-0.02394306,0.015675819,-0.000387447,0.00474963,0.016821805,-0.027953147,0.001814882,-0.002566296,0.013235294,-2.20E-05,0.036378222,-0.007630402,-0.014919202,-0.00674754,-0.001038476,0.015271111,0.002915938,-0.000169673,0.006836578,-0.004331353,0.012054258,-0.073748066,0.001600512,0.009167223,0.017287396,-0.009353906,-0.004320276,0.008837287,-0.001692436,0.040518847,0.007087172,-0.00748391,-0.02749286,-0.005900571,-0.034975623,0.012148782,0.006162334,-0.002983147,0.002415501,0.00230323,-0.000349645,0.008348832,0.007515833,-0.001586785,-0.012072135
4/25/2018,-0.006025064,-0.012776096,0.00122519,-0.009359721,0.033476972,0.00645049,-0.005404559,-0.007364341,-0.000308343,-0.018303457,0.005067107,-0.006884036,0.0015866,-0.010957892,-0.014347027,0.000463921,-0.014131376,-0.018994186,0.024987846,-0.001143549,-0.000892304,-0.014703499,-0.014767685,-0.0149524,-0.01670682,0.022119945,-0.019852152,-0.015793131,-0.009391802,0.018245767,-0.00991833,-0.005785433,-0.017519831,0.004359428,0.026943667,-0.023574919,-0.008897547,0.005419675,0.003774912,0.000696957,0.004693795,0.005472962,0.014743564,0.001549095,-0.012518962,8.07E-05,-0.015026047,0.009561715,0.021013641,-0.001074303
4/26/2018,-0.006319674,-0.009329843,-0.017490718,-0.004079269,-0.02536619,0.007952844,0.000513626,0.004945985,0.021964124,-0.000179232,0.013875103,0.015140437,0.015284477,-0.011519607,0.00132637,0.004997408,-0.016863407,-0.013647219,0.019883294,0.009002471,0.013268722,0.011634811,0.008958974,-0.01942866,0.006447946,0.043967845,0.008403348,0.018481951,0.018650916,0.005036071,0.035308104,0.000872854,0.007523021,-0.001688045,-0.004307516,0.000840856,0.005021284,0.006847248,-0.013386344,-0.020198455,-0.005309754,-0.000777573,-0.00035345,-0.000515636,0.014903901,0.012011769,0.003424581,-0.01053663,0.007263943,0.008536102
4/27/2018,0.022410682,0.092050658,0.017980053,0.004783071,-0.001099699,-0.03309201,0.001783376,-0.00354875,-0.011601039,0.03245468,0.00743763,0.004132952,0.002572361,0.0226767,-0.01823076,0.021479486,0.040308788,0.02006222,-0.024666257,0.00051573,0.013472692,-0.000166742,0.014898571,0.01006327,0.016460997,-0.026076285,0.004059816,0.001487819,-0.000305176,0.005302089,0.002073438,-0.007267371,-0.000553131,0.004347845,-0.005178307,0.004440725,0.020136242,-0.029807519,-0.004191706,-0.018482356,0.021560149,0.012062241,0.01625602,-0.013927056,0.012629277,-0.012852744,0.010859448,-0.012097066,0.003090638,0.005464853
4/30/2018,0.017010812,-0.040615771,0.008711669,0.003445245,0.001957146,0.010656147,0.015913688,0.010866187,0.023711845,-0.012851621,0.012065516,0.007337217,0.018801241,0.016802776,0.003597783,-0.033122547,0.015663593,0.008731815,0.023218803,0.012164936,0.012051125,0.012586562,0.007403087,0.005768131,0.006348824,-0.002118919,0.002979344,0.007056852,-0.007936526,0.012286977,0.036952184,0.00819905,-0.000830071,-0.000240441,-0.020755091,0.009559087,0.01038884,0.000149106,0.011446576,0.009415156,0.001849311,-0.007176696,0.009604944,-0.006102877,-0.012997068,0.005049145,-0.003683185,-0.004415574,0.018657931,-0.032478253
05/02/18,0.017142464,0.012468611,-0.008335497,-0.001362885,-0.00268583,-0.049631916,0.014522754,0.012960937,-0.024488086,-0.0256862,-0.002042477,0.020607524,0.037775577,0.00160611,-0.007992126,0.009758094,-0.02191556,-0.034372656,-0.009158885,-0.017620684,-0.01522215,0.007573223,-0.007265095,0.003957558,0.001874416,-0.01563551,-0.032251182,-0.015648025,-0.030307711,-0.011622539,-0.020784204,-0.010165518,-0.002769316,-0.012990192,0.00464273,-0.023198054,-0.012779102,-0.012004158,-0.022475898,-0.011479789,0.004521389,-0.016522509,-0.01598897,-0.015789474,-0.021365181,-0.018259737,-0.0070857,-0.02007233,-0.016131702,0.004863954
05/03/18,-0.012721957,0.018424868,-0.006409921,-0.016167092,-0.009915549,-0.074762606,0.006333076,-0.000812377,-0.013417576,0.018057061,-0.012113111,-0.007832898,-0.018538352,-0.018102144,0.001309417,-0.011411553,0.003734415,0.019060073,-0.005114623,-0.005339579,-0.010221905,-0.004411785,0.008033249,0.001369156,-0.00752909,-0.027355646,0.015347511,0.005272159,0.013168313,0.00225911,-0.011150616,0.022887324,0.00583173,0.006336865,-0.019489636,0.027989867,-0.00758812,-0.014489436,-0.005265754,-0.014879314,0.003118731,-0.008531303,-0.016211779,-0.012655928,-0.02109445,-0.002319806,0.003412988,0.005863245,-0.020836912,-0.034769567
05/04/18,-0.013507395,-0.024559498,-0.009996206,-0.009016712,-0.018916951,0.004483054,-0.006423246,0.010467999,0.008263325,0.003370033,-0.007991267,-0.027543881,-8.11E-05,-0.006568716,-0.008879676,-0.007955447,0.00020671,-0.008028033,-0.000315952,-0.001302966,0.028337531,-0.02018708,-0.005340697,-0.006836075,-0.012505725,0.008770174,-0.000863731,0.006921705,-0.005950498,-0.012484092,0.001401307,-0.019506563,-0.004693573,0.004601558,-0.040847028,-0.033710556,0.002698632,0.014855674,-0.002377764,-0.005710104,-0.029090498,0.00661901,0.008881209,-0.020400882,-0.022424226,0.001135218,-0.00123684,-0.021998639,0.00401184,-0.00600363
05/07/18,0.0208325,0.030367073,0.009956901,0.020485585,0.003780777,-0.00177444,0.004370914,-0.005582085,0.023016032,0.024571262,0.008439199,0.01840161,0.009404595,0.014941239,0.007547648,0.017873045,0.018805551,0.027034029,-0.017180219,0.011324535,0.010165325,-0.00996652,0.013884852,-0.017611362,0.002886652,-0.000899395,0.028095958,-0.000713838,0.02646501,0.03663817,-0.002052395,-0.002340621,0.020249619,0.009161059,0.002136448,0.010734311,0.002242823,-0.007922734,0.011929652,0.017969599,0.009225814,0.014729025,0.016380387,-0.014375209,0.019119489,-0.003196926,0.01733748,0.01360377,0.022237751,0.019540943
05/08/18,-0.004402366,0.011471786,-0.011219449,-0.014270979,0.007281781,-0.008726607,-0.008000196,-0.005234133,-0.001235046,0.067287788,-0.014750593,0.001594375,-0.002570237,-0.017456718,0.003602594,-0.004016503,0.014401635,-0.00016772,0.005919408,-0.000877276,0.000969917,-0.0006767,0.002275548,0.002633463,0.014484657,0.020104058,0.003573642,-0.010689,-0.005371394,-0.022922299,0.002749458,0.005278593,-0.004350124,0.016483571,-0.001634399,-0.011585778,-0.008951216,-0.006160707,0.007611493,-0.007279343,-0.007906579,0.017625761,-0.005116304,0.002804787,0.022179041,0.002535601,0.013694461,-0.001706346,-0.015295717,0.005715091
05/09/18,0.01045543,0.011526049,0.001647687,-0.01032972,0.003240689,0.008042631,-0.002994694,0.005770049,-3.35E-05,-0.008082768,0.004418431,-0.001415014,0.007488867,0.007876035,-0.006478551,0.009926618,-0.008198372,0.011402782,0.013977711,0.018179978,0.001332409,-0.004486624,-0.013168174,-0.005108486,0.002150811,0.009412663,-0.00230416,0.005081301,-0.007097633,-0.006009491,0.000334493,-0.00583427,-0.001365374,-0.004230335,-0.003558972,0.0144078,0.029504798,0.00114793,-0.024076695,-0.009165901,-0.007001469,-0.018211905,-0.007934357,-0.002983359,-0.003661261,-0.000792975,0.003902695,-0.010570151,0.007939205,0.013582797
05/10/18,-0.003967198,-0.001549636,-0.02085238,-0.006327376,0.023978194,0.002911064,-0.001765328,0.007228026,-0.006350267,0.000163032,-0.002306271,-0.00761599,-0.002917336,-0.009777249,-0.001536921,0.004556147,-0.000201625,-0.014921661,-0.01090478,-0.012782831,-0.00616915,-0.021258503,-0.00418305,-0.036210002,-0.00173515,0.00563385,0.013226997,0.00332606,-0.006837645,-0.004185532,-0.015261924,-0.011150199,0.029532369,-0.018173212,0.019715676,-0.023230607,-0.024418792,0.014523774,0.008143725,0.000740101,-0.015494429,0.012323258,-0.002786227,0.00748083,0.010946511,-0.002298572,0.004485646,-0.01513493,-0.023116438,-0.012717042
05/11/18,0.0564589,0.010316741,0.020523296,0.013116347,-0.061878251,0.00284881,0.013461437,0.009559918,0.011839876,0.013361597,0.010916096,0.012493307,0.015871783,0.018499541,0.005209635,0.008255603,0.009679408,0.022048262,0.001651561,-0.017521312,0.004625181,-0.003127694,0.008737211,0.000452365,0.007044463,0.010914639,0.005801881,0.004720622,0.013143522,0.014711005,0.060284718,-0.006231454,-0.003984064,-0.005528864,-0.021646252,-0.02711029,-0.00839334,0.004294811,0.018269135,0.008134558,-0.004261733,0.02332131,0.016940656,0.006125836,0.007357875,-0.007597354,0.006847331,0.006320849,0.007887818,0.018351758
5/14/2018,0.008472949,-0.002530207,0.007670074,0.001611604,-0.008923893,-0.008093464,0.005625548,0.004970797,-0.000365618,-0.002733578,0.007241202,0.004054271,0.003392982,-0.004072383,-0.00494838,-0.002678803,0.012981825,0.005104941,-0.006768944,-0.037707221,-0.006663436,0.008366721,-0.023361312,0.013690028,-0.000590529,0.031912885,-0.00247215,0.010954204,0.016370619,-0.018927571,0.005082473,0.025082113,-0.001333333,0.010635684,-0.0102391,-0.011272988,-0.021765363,0.001200372,0.008706579,-0.001100267,0.00586052,0.012271537,-0.002482812,-0.00350558,-0.012235658,0.008291186,-0.004139634,-0.001400624,-0.109913065,-0.009180551
5/15/2018,0.013334913,-0.003986251,0.002051408,0.020085788,-0.003131912,-0.000324206,-0.000543834,0.007938691,0.007947824,-0.005965837,0.004414361,-0.010358082,0.009633533,-0.005464121,0.002251018,-0.00775386,-0.022082042,0.025559166,0.014227215,0.011956522,-0.001951502,-0.004667264,-0.019443183,-0.004584314,-0.009680961,-0.062037037,0.007434894,0.001018251,0.016714786,-0.006567802,-0.000647784,-0.009030038,0.009345794,0.022961048,-0.017724082,-0.032154722,-0.04171817,0.005095578,0.000547838,-0.004956915,-0.00293086,0.003958376,-0.001702072,-0.024254724,0.009103061,0.000356344,-0.007125873,0.016064753,-0.05177804,0.006588907
5/16/2018,0.006883906,0.00054573,-0.01450668,0.009463971,-0.017279806,-0.005135135,-0.007773833,-0.007091016,0.03866709,-0.03568532,-0.003850904,0.014191946,-0.001908285,-0.008623181,-0.003552357,-0.02329029,-0.01975804,-0.007508606,0.00330232,0.000161143,-0.014786723,-0.027613692,0.013306126,-0.007244236,-0.006471088,-0.01767031,-0.017015146,0.004512389,0.006127689,0.007142421,0.006565446,-0.000587854,-0.014814831,-0.001870488,-0.016570923,0.002779584,0.000483695,0.003056718,-0.02884915,0.013653179,-0.004161281,-0.018358753,0.016022658,0,-0.006731533,-0.020303621,-0.007476077,0.001851635,-0.006387751,-0.010159569
