,RSI Window,Breakout Window,Investment Period,Returns (%)
Test-1,40,10,1,-3.33
Test-2,40,10,2,17.13
Test-3,40,10,3,-6.57
Test-4,30,10,1,31.58
Test-5,30,10,2,29.32
Test-6,30,10,3,12.64
Test-7,40,20,1,7.91
Test-8,40,20,2,35.07
Test-9,40,20,3,-0.46
Test-10,30,20,1,14.24
Test-11,30,20,2,30.71
Test-12,30,20,3,3.56
