,Date,Test,Investment Period (Months),RSI Window,Breakout window,Investment Value,Technical Filter Passed,Fundamental Filter Passed,Exit Value
0,2021-04-30,Test-1,1,40,10,100000,14,4,104082.59088803103
1,2021-05-31,Test-1,1,40,10,100000,95,11,103299.4871354154
2,2021-06-30,Test-1,1,40,10,100000,2,1,100000.0
3,2021-07-31,Test-1,1,40,10,100000,12,2,100529.81118023799
4,2021-08-31,Test-1,1,40,10,100000,17,2,105330.39121029107
5,2021-09-30,Test-1,1,40,10,100000,37,4,100226.49450412681
6,2021-10-31,Test-1,1,40,10,100000,1,0,100000.0
7,2021-11-30,Test-1,1,40,10,100000,4,0,100000.0
8,2021-12-31,Test-1,1,40,10,100000,66,17,97291.47474569213
9,2022-01-31,Test-1,1,40,10,100000,1,0,100000.0
10,2022-02-28,Test-1,1,40,10,100000,3,1,100000.0
11,2022-03-31,Test-1,1,40,10,100000,45,8,100741.97292882059
0,2021-04-30,Test-2,2,40,10,100000,14,4,111199.75177476218
1,2021-06-30,Test-2,2,40,10,100000,2,1,100000.0
2,2021-08-31,Test-2,2,40,10,100000,17,2,107893.72543819499
3,2021-10-31,Test-2,2,40,10,100000,1,0,100000.0
4,2021-12-31,Test-2,2,40,10,100000,66,17,88757.27615833365
5,2022-02-28,Test-2,2,40,10,100000,3,1,100000.0
0,2021-04-30,Test-3,3,40,10,100000,14,4,113694.79239181429
1,2021-07-31,Test-3,3,40,10,100000,12,2,111482.5901390851
2,2021-10-31,Test-3,3,40,10,100000,1,0,100000.0
3,2022-01-31,Test-3,3,40,10,100000,1,0,100000.0
0,2021-04-30,Test-4,1,30,10,100000,20,4,116734.78751636998
1,2021-05-31,Test-4,1,30,10,100000,77,13,102221.23949078613
2,2021-06-30,Test-4,1,30,10,100000,4,0,100000.0
3,2021-07-31,Test-4,1,30,10,100000,14,4,95485.51287776638
4,2021-08-31,Test-4,1,30,10,100000,15,1,100000.0
5,2021-09-30,Test-4,1,30,10,100000,49,7,107697.31736370819
6,2021-11-30,Test-4,1,30,10,100000,7,2,101756.685479018
7,2021-12-31,Test-4,1,30,10,100000,60,13,97928.40648408745
8,2022-01-31,Test-4,1,30,10,100000,5,0,100000.0
9,2022-02-28,Test-4,1,30,10,100000,1,0,100000.0
10,2022-03-31,Test-4,1,30,10,100000,73,14,95430.16617183578
0,2021-04-30,Test-5,2,30,10,100000,20,4,120197.96128608013
1,2021-06-30,Test-5,2,30,10,100000,4,0,100000.0
2,2021-08-31,Test-5,2,30,10,100000,15,1,100000.0
3,2021-12-31,Test-5,2,30,10,100000,60,13,87229.07629720398
4,2022-02-28,Test-5,2,30,10,100000,1,0,100000.0
0,2021-04-30,Test-6,3,30,10,100000,20,4,127394.75357021799
1,2021-07-31,Test-6,3,30,10,100000,14,4,105193.5808978403
2,2022-01-31,Test-6,3,30,10,100000,5,0,100000.0
0,2021-04-30,Test-7,1,40,20,100000,19,4,106466.82549414947
1,2021-05-31,Test-7,1,40,20,100000,30,6,101466.9266496207
2,2021-06-30,Test-7,1,40,20,100000,6,3,108486.56046033445
3,2021-07-31,Test-7,1,40,20,100000,1,0,100000.0
4,2021-09-30,Test-7,1,40,20,100000,20,3,94932.91962067445
5,2021-10-31,Test-7,1,40,20,100000,17,1,100000.0
6,2021-11-30,Test-7,1,40,20,100000,6,1,100000.0
7,2021-12-31,Test-7,1,40,20,100000,15,4,97614.12884342285
8,2022-01-31,Test-7,1,40,20,100000,13,2,98311.20204443877
9,2022-02-28,Test-7,1,40,20,100000,2,0,100000.0
10,2022-03-31,Test-7,1,40,20,100000,15,2,101252.88323983834
0,2021-04-30,Test-8,2,40,20,100000,19,4,108348.89274542792
1,2021-06-30,Test-8,2,40,20,100000,6,3,111561.24202333801
2,2021-10-31,Test-8,2,40,20,100000,17,1,100000.0
3,2021-12-31,Test-8,2,40,20,100000,15,4,88181.32540218029
4,2022-02-28,Test-8,2,40,20,100000,2,0,100000.0
0,2021-04-30,Test-9,3,40,20,100000,19,4,118490.17874735051
1,2021-07-31,Test-9,3,40,20,100000,1,0,100000.0
2,2021-10-31,Test-9,3,40,20,100000,17,1,100000.0
3,2022-01-31,Test-9,3,40,20,100000,13,2,108848.52431195865
0,2021-04-30,Test-10,1,30,20,100000,11,0,100000.0
1,2021-05-31,Test-10,1,30,20,100000,82,9,108860.06295337454
2,2021-06-30,Test-10,1,30,20,100000,4,1,100000.0
3,2021-07-31,Test-10,1,30,20,100000,2,0,100000.0
4,2021-08-31,Test-10,1,30,20,100000,12,2,102794.11158252296
5,2021-09-30,Test-10,1,30,20,100000,46,6,97723.17366118125
6,2021-10-31,Test-10,1,30,20,100000,11,1,100000.0
7,2021-11-30,Test-10,1,30,20,100000,8,0,100000.0
8,2021-12-31,Test-10,1,30,20,100000,30,8,100240.15829856825
9,2022-01-31,Test-10,1,30,20,100000,28,3,90697.65965745886
10,2022-02-28,Test-10,1,30,20,100000,1,0,100000.0
11,2022-03-31,Test-10,1,30,20,100000,65,9,101596.80613961675
0,2021-04-30,Test-11,2,30,20,100000,11,0,100000.0
1,2021-06-30,Test-11,2,30,20,100000,4,1,100000.0
2,2021-08-31,Test-11,2,30,20,100000,12,2,101734.58844566336
3,2021-10-31,Test-11,2,30,20,100000,11,1,100000.0
4,2021-12-31,Test-11,2,30,20,100000,30,8,91560.8469122618
5,2022-02-28,Test-11,2,30,20,100000,1,0,100000.0
0,2021-04-30,Test-12,3,30,20,100000,11,0,100000.0
