,RSI Window,Breakout Window,Investment Period,Returns (%)
Test-1,40,10,1,11.84
Test-2,40,10,2,6.49
Test-3,40,10,3,26.75
Test-4,30,10,1,16.69
Test-5,30,10,2,4.85
Test-6,30,10,3,34.01
Test-7,40,20,1,8.11
Test-8,40,20,2,6.59
Test-9,40,20,3,28.97
Test-10,30,20,1,1.01
Test-11,30,20,2,-6.85
Test-12,30,20,3,4.97
