,Date,Test,Investment Period (Months),RSI Window,Breakout window,Investment Value,Technical Filter Passed,Fundamental Filter Passed,Exit Value
0,2018-04-30,Test-1,1,40,10,100000,45,4,96050.03195453339
1,2018-05-31,Test-1,1,40,10,100000,22,0,100000.0
2,2018-06-30,Test-1,1,40,10,100000,7,1,100000.0
3,2018-07-31,Test-1,1,40,10,100000,70,6,103681.79786855051
4,2018-08-31,Test-1,1,40,10,100000,53,5,89110.290611082
5,2018-09-30,Test-1,1,40,10,100000,2,0,100000.0
6,2018-10-31,Test-1,1,40,10,100000,14,2,104896.39347744448
7,2018-11-30,Test-1,1,40,10,100000,50,12,103911.7685986858
8,2018-12-31,Test-1,1,40,10,100000,17,4,99973.58075743113
9,2019-01-31,Test-1,1,40,10,100000,6,0,100000.0
10,2019-02-28,Test-1,1,40,10,100000,24,1,100000.0
0,2018-04-30,Test-2,2,40,10,100000,45,4,93678.8818288326
1,2018-06-30,Test-2,2,40,10,100000,7,1,100000.0
2,2018-08-31,Test-2,2,40,10,100000,53,5,90983.33960016027
3,2018-10-31,Test-2,2,40,10,100000,14,2,111459.08330141287
4,2018-12-31,Test-2,2,40,10,100000,17,4,98439.78936758029
0,2018-04-30,Test-3,3,40,10,100000,45,4,93019.44066660748
1,2018-07-31,Test-3,3,40,10,100000,70,6,85376.12991430637
2,2018-10-31,Test-3,3,40,10,100000,14,2,93448.13122576881
0,2018-04-30,Test-4,1,30,10,100000,46,4,100706.70477951711
1,2018-05-31,Test-4,1,30,10,100000,6,1,100000.0
2,2018-06-30,Test-4,1,30,10,100000,13,2,111543.63430085362
3,2018-07-31,Test-4,1,30,10,100000,41,4,105518.22313869177
4,2018-08-31,Test-4,1,30,10,100000,36,5,87463.71989657261
5,2018-09-30,Test-4,1,30,10,100000,2,0,100000.0
6,2018-10-31,Test-4,1,30,10,100000,21,4,97718.53875470167
7,2018-11-30,Test-4,1,30,10,100000,32,4,110543.04820289976
8,2018-12-31,Test-4,1,30,10,100000,12,0,100000.0
9,2019-01-31,Test-4,1,30,10,100000,3,0,100000.0
10,2019-02-28,Test-4,1,30,10,100000,37,2,104900.0724845149
0,2018-04-30,Test-5,2,30,10,100000,46,4,101121.78727575782
1,2018-06-30,Test-5,2,30,10,100000,13,2,117424.01199587011
2,2018-08-31,Test-5,2,30,10,100000,36,5,89058.57434977258
3,2018-10-31,Test-5,2,30,10,100000,21,4,99837.27676920133
4,2018-12-31,Test-5,2,30,10,100000,12,0,100000.0
0,2018-04-30,Test-6,3,30,10,100000,46,4,105650.4640258478
1,2018-07-31,Test-6,3,30,10,100000,41,4,89555.69213629741
2,2018-10-31,Test-6,3,30,10,100000,21,4,90851.60686522804
0,2018-04-30,Test-7,1,40,20,100000,83,5,93829.6525607503
1,2018-05-31,Test-7,1,40,20,100000,12,1,100000.0
2,2018-07-31,Test-7,1,40,20,100000,63,12,100381.82742627503
3,2018-08-31,Test-7,1,40,20,100000,27,4,84141.91863849676
4,2018-09-30,Test-7,1,40,20,100000,3,0,100000.0
5,2018-10-31,Test-7,1,40,20,100000,5,1,100000.0
6,2018-11-30,Test-7,1,40,20,100000,41,10,101734.00208436885
7,2018-12-31,Test-7,1,40,20,100000,57,9,97497.32247240124
8,2019-01-31,Test-7,1,40,20,100000,15,1,100000.0
9,2019-02-28,Test-7,1,40,20,100000,16,0,100000.0
0,2018-04-30,Test-8,2,40,20,100000,83,5,92777.05157319986
1,2018-08-31,Test-8,2,40,20,100000,27,4,88171.8776150399
2,2018-10-31,Test-8,2,40,20,100000,5,1,100000.0
3,2018-12-31,Test-8,2,40,20,100000,57,9,100323.10882583202
0,2018-10-31,Test-9,3,40,20,100000,5,1,100000.0
0,2018-05-31,Test-10,1,30,20,100000,5,0,100000.0
1,2018-06-30,Test-10,1,30,20,100000,7,0,100000.0
2,2018-07-31,Test-10,1,30,20,100000,53,7,103937.97522187966
3,2018-09-30,Test-10,1,30,20,100000,1,0,100000.0
4,2018-10-31,Test-10,1,30,20,100000,13,0,100000.0
5,2018-12-31,Test-10,1,30,20,100000,17,3,98494.24797309545
6,2019-01-31,Test-10,1,30,20,100000,9,1,100000.0
7,2019-02-28,Test-10,1,30,20,100000,12,0,100000.0
0,2018-06-30,Test-11,2,30,20,100000,7,0,100000.0
1,2018-10-31,Test-11,2,30,20,100000,13,0,100000.0
2,2018-12-31,Test-11,2,30,20,100000,17,3,99955.43628447485
0,2018-10-31,Test-12,3,30,20,100000,13,0,100000.0
