,RSI Window,Breakout Window,Investment Period,Returns (%)
Test-1,40,10,1,11.24
Test-2,40,10,2,28.61
Test-3,40,10,3,9.27
Test-4,30,10,1,23.69
Test-5,30,10,2,47.91
Test-6,30,10,3,39.51
Test-7,40,20,1,2.1
Test-8,40,20,2,22.24
Test-9,40,20,3,0.0
Test-10,30,20,1,18.4
Test-11,30,20,2,2.29
Test-12,30,20,3,4.63
